User ID,Age,Gender,Height (cm),Weight (kg),Workout Type,Workout Duration (mins),Calories Burned,Heart Rate (bpm),Steps Taken,Distance (km),Workout Intensity,Sleep Hours,Water Intake (liters),Daily Calories Intake,Resting Heart Rate (bpm),VO2 Max,Body Fat (%),Mood Before Workout,Mood After Workout
1,39,Male,175,99,Cycling,79,384,112,8850,14.44,High,8.2,1.9,3195,61,38.4,28.5,Tired,Fatigued
2,36,Other,157,112,Cardio,73,612,168,2821,1.1,High,8.6,1.9,2541,73,38.4,28.5,Happy,Energized
3,25,Female,180,66,HIIT,27,540,133,18898,7.28,High,9.8,1.9,3362,80,38.4,28.5,Happy,Fatigued
4,56,Male,154,89,Cycling,39,672,118,14102,6.55,Medium,5.8,1.9,2071,65,38.4,28.5,Neutral,Neutral
5,53,Other,194,59,Strength,56,410,170,16518,3.17,Medium,7.3,1.9,3298,59,38.4,28.5,Stressed,Energized
6,33,Male,162,81,Yoga,11,301,142,10895,6.53,Low,4.2,1.9,2401,69,38.4,28.5,Happy,Neutral
7,48,Female,151,82,Strength,109,351,114,4687,6.47,Low,4.3,1.9,2310,72,38.4,28.5,Happy,Neutral
8,59,Male,189,61,Strength,83,518,159,11234,7.64,Medium,8.8,1.9,2654,62,38.4,28.5,Neutral,Neutral
9,37,Other,182,113,Running,25,226,123,9372,13.24,Low,4.1,1.9,3760,53,38.4,28.5,Tired,Neutral
10,45,Female,198,74,Cycling,60,265,171,19073,8.52,High,5.6,1.9,1908,53,38.4,28.5,Neutral,Energized
11,28,Other,167,84,Yoga,31,292,147,3478,13.49,Low,6.3,1.9,1893,51,38.4,28.5,Stressed,Fatigued
12,46,Other,185,112,HIIT,111,761,85,17568,10.9,Low,6.2,1.9,2184,57,38.4,28.5,Tired,Neutral
13,38,Male,178,71,Running,83,664,98,8098,11.26,High,8.5,1.9,2253,68,38.4,28.5,Tired,Energized
14,18,Male,174,99,Cardio,60,205,96,3597,1.54,Low,7.1,1.9,2238,74,38.4,28.5,Tired,Neutral
15,38,Male,179,75,Yoga,50,463,85,9695,1.92,High,7.3,1.9,1759,81,38.4,28.5,Stressed,Neutral
